Geni id,Geni profile name,BH database URL,BH theme,BH floor,BH location,Wikipedia URL
profile-83256808,Franz Werfel,,Literature & Poetry,,,
profile-83565784,Jakob Karl Wassermann,,Literature & Poetry,,,
profile-34727872588,Ben Hecht,,Literature & Poetry,,,
profile-34706347998,Joseph Heller,,Literature & Poetry,,,
profile-34660252014,Herman Wouk,,Literature & Poetry,,,
profile-13110566,Heinrich Heine,,Literature & Poetry,,,
profile-34676049512,E.L. Doctorow,,Literature & Poetry,,,
profile-34623787650,Dr. med. Alfred Bruno Döblin,,Literature & Poetry,,,
profile-34701495452,David Bergelson,,Literature & Poetry,,,
profile-17422373,Allen Ginsberg,,Literature & Poetry,,,
profile-78019946,Roman Gary,,Literature & Poetry,,,
profile-34621774449,"Joseph Brodsky, Nobel Prize in Literature, 1987",,Literature & Poetry,,,
profile-111893223,Dr. Max Brod,,Literature & Poetry,,,
profile-74396320,"Saul Bellow, Nobel Prize in Literature 1976",,Literature & Poetry,,,
profile-34661878539,Isaac Babel,,Literature & Poetry,,,
profile-34721456857,Harlan Ellison,,Literature & Poetry,,,
profile-113043106,Isaac Asimov,,Literature & Poetry,,,
profile-34754609657,Ilya Arnoldovich Ilf,,Literature & Poetry,,,
profile-34709409969,Yevgeny Petrov,,Literature & Poetry,,,
profile-34676668471,Walter Isaacson,,Literature & Poetry,,,
profile-108714401,Paul Auster,,Literature & Poetry,,,
profile-34658890357,Cynthia Shoshana Ozick,,Literature & Poetry,,,
profile-111077484,"Ariel Arik Sharon, Prime Minister Of Israel 11th",,Military,,,
profile-7005954293,Sidney Reilly,,Military,,,
profile-34628552832,Yitzhak Sadeh (Landoberg),,Military,,,
profile-34664900345,Ethel Rosenberg,,Military,,,
profile-34664900393,Julius Rosenberg,,Military,,,
profile-34725347121,Markus Johannes Wolf,,Military,,,
profile-34649195068,"General Sir John Monash, GCMG, KCB, VD",,Military,,,
profile-34749980916,Lydia Vladimirovna Litvyak,,Military,,,
profile-34754405705,Iona Emmanuilovich Yakir,,Military,,,
profile-15123230,Moshe Dayan,,Military,,,
profile-34627016441,Dinah Shore,,Press & Media,,,
profile-34641148101,Paul Julius Freiherr von Reuter (Baron von Reuter);,,Press & Media,,,
profile-34660252201,Sumner Redstone,,Press & Media,,,
profile-54525468,Larry King,,Press & Media,,,
profile-34631280172,Ted Koppel,,Press & Media,,,
profile-34711915788,Sidney Costantino Sonnino,,Diplomacy,,,
profile-34626185586,"Joseph (József) Pulitzer, USA",,Press & Media,,,
