Geni id,Geni profile name,BH database URL,Ushi,BH theme,BH floor,BH location,,Wikipedia URL,Notes,RANDY,,
profile-34658199792,Paul Reiser,,"אמנויות הבימה, קולנוע, חלוצי טלוויזיה באמריקה",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34691523133,Paul Rudd,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-127768018,Peter Falk,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34058793293,Peter Lorre,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34690262828,Rachel Bloom,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-78528961,Rob Reiner,,"אמנויות הבימה, קולנוע",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34642033905,Sam Mendes,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34757841098,Samuel Fuller,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34625671545,Samuel Goldwyn,,"אמנויות הבימה, קולנוע, האם יש בהוליווד קולנוע יהודי? ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-82105945,Scarlett Johansson,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-43985740,Sean Penn,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34663472173,Shelley Winters,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-85575093,Sir Alexander Korda,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34713170767,Stanley Donen,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34654222640,Stanley Kramer,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-82879559,Stanley Kubrick,,"אמנויות הבימה, קולנוע, האם יש בהוליווד קולנוע יהודי?  ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34649947128,Stephen Frears,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34623120121,Stephen Fry,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-115928580,Steven Spielberg,,"אמנויות הבימה, קולנוע, האם יש בהוליווד קולנוע יהודי?, קומה 3, יהודים בתרבות העולם, קיר ירמי פינקוס",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-110680213,Sydney Pollack,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-72290621,Tony Curtis,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34666967519,Walter Matthau,,"אמנויות הבימה, תיאטרון, כל העולם בימה 3.5.2.5",Cinema & Television,3,Jews in World Culture and Science,,,,,,
